Num,Ligand_SMILES,Product_SMILES,Temp (K),G,ee (%),L_Num,L_DFT,L_Type,P_Num,R_Type,Data_Type,Doi,Ligand_Compound_Name,Product_Compound_Name,Unnamed: 15
2583,FC(C1=CN=C(C2=N[C@@H](C(C)(C)C)CO2)C=C1)(F)F,C(C)[Si](C#C[C@@H](CC)C1=CC=C(C=C1)OC)(CC)CC,273.15,1.725,-92,L73,Ligand_386,Pyox,P_3741,NiH,literature,10.1038/s41467-021-24094-9,"(S)-4-(tert-butyl)-2-(5-(trifluoromethyl)pyridin-2-yl)-4,5-dihydrooxazole",(S)-triethyl(3-(4-methoxyphenyl)pent-1-yn-1-yl)silane,
4398,C1(C2(CC2)C3=N[C@H](C(C=CC=C4)=C4C5)[C@H]5O3)=N[C@H]6[C@H](CC7=C6C=CC=C7)O1,C1(=CC=CC=C1)[C@H](/C=C/CCCN1C(CCC1)=O)[Si](C)(C)C,278.15,2.1511,-96,L437,Ligand_88,Box,P_3320,RCC,literature,10.1021/jacs.7b11707,"(3aR,3a'R,8aS,8a'S)-2,2'-(cyclopropane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)","(S,E)-1-(6-phenyl-6-(trimethylsilyl)hex-4-en-1-yl)pyrrolidin-2-one",
6307,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](C6=CC=CC=C6)CO5)(C)C,N1=C(N=CC=C1)N1CCN(CC1)[C@@H](CC(=O)OCCCC)C,298.15,1.8829,-92,L312,Ligand_112,Box,pplus_518,NiH,literature,10.1021/jacs.2c02343,"(4S,4'S)-2,2'-(1,3-bis(4-(tert-butyl)phenyl)propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)",butyl (R)-3-(4-(pyrimidin-2-yl)piperazin-1-yl)butanoate,
1889,CC([C@@H]1N=C(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)OC1)(C)C,O=C(NC1=CC=C2C=CC=CC2=C1)[C@H](C)CCC3=CC=CC=C3,263.15,0.0384,-4,L18,Ligand_57,Box,P_70,NiH,HTE,10.1002/anie.202011339,"(4S,4'S)-2,2'-(cyclopentane-1,1-diyl)bis(4-(tert-butyl)-4,5-dihydrooxazole)",(R)-2-methyl-N-(naphthalen-2-yl)-4-phenylbutanamide,
1635,CC([C@@H]1N=C(C2=NC=CC=C2)OC1)(C)C,O=C(NC1=CC=CC=C1)[C@@H](C)CCC2=CC=C(C=C2)C(F)(F)F,263.15,0.1874,-15,L2,Ligand_353,Pyox,P_36,NiH,HTE,10.1002/anie.202011339,"(S)-4-(tert-butyl)-2-(pyridin-2-yl)-4,5-dihydrooxazole",(S)-2-methyl-N-phenyl-4-(4-(trifluoromethyl)phenyl)butanamide,
1663,C1(C2=N[C@H]3[C@H](CC4=C3C=CC=C4)O2)=CC=CC(C5=N[C@H](C(C=CC=C6)=C6C7)[C@H]7O5)=N1,O=C(NC1=CC=CC=C1)[C@@H](C)CCC2=CC=C(C=C2)C(F)(F)F,263.15,0.1272,-11,L31,Ligand_327,Pybox,P_36,NiH,HTE,10.1002/anie.202011339,"2,6-bis((3aR,8aS)-3a,8a-dihydro-8H-indeno[1,2-d]oxazol-2-yl)pyridine",(S)-2-methyl-N-phenyl-4-(4-(trifluoromethyl)phenyl)butanamide,
5883,N#C/C(C1=N[C@H]([C@@H](C2=CC=CC=C2)O1)C3=CC=CC=C3)=C4N[C@H]([C@@H](C5=CC=CC=C5)O/4)C6=CC=CC=C6,FC1=CC=C(C=C1)[C@@H](O)C1=C(C=CC=C1)OC,263.15,1.4389,-88,L68,Ligand_148,Box,pplus_122,RCC,literature,10.1002/anie.202201370,"(E)-2-((4S,5R)-4,5-diphenyl-4,5-dihydrooxazol-2-yl)-2-((4S,5R)-4,5-diphenyloxazolidin-2-ylidene)acetonitrile",(R)-(4-fluorophenyl)(2-methoxyphenyl)methanol,
111,C1(CC2=N[C@@H](CC3=CC=CC=C3)CO2)=N[C@@H](CC4=CC=CC=C4)CO1,O=C(C1=CC=CC=C1)N[C@H](C2=CC=C(C)C=C2)CC,303.15,0.1801,-15,L22,Ligand_60,Box,P_4,NiH,HTE,10.1002/anie.202011342,"bis((S)-4-benzyl-4,5-dihydrooxazol-2-yl)methane",(S)-N-(1-(p-tolyl)propyl)benzamide,
3443,CC(C1=N[C@H](CO1)C2=CC=CC=C2)(C)C3=N[C@H](CO3)C4=CC=CC=C4,CC1=CC=C(C=C1)S(=O)(=O)OCCCCC[C@@H](C(F)(F)F)C1=CC(=CC=C1)OC,253.15,2.1051,-97,L21,Ligand_59,Box,P_1175,C(sp3)-C(sp2),literature,10.1021/jacs.5b04725,"(4S,4'S)-2,2'-(propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)","(R)-7,7,7-trifluoro-6-(3-methoxyphenyl)heptyl 4-methylbenzenesulfonate",
4579,CC([C@H]1N=C(C2=N[C@H](C(C)C)CO2)OC1)C,O=C(OC1=CC=CC=C1)[C@H](C2=CC=C(C)C=C2)C(C)C,293.15,1.8513,-92,L46,Ligand_4,Biox,P_519,RCC,literature,10.1039/d1sc00822f,"(4R,4'R)-4,4'-diisopropyl-4,4',5,5'-tetrahydro-2,2'-bioxazole",phenyl (S)-3-methyl-2-(p-tolyl)butanoate,
4879,CC(C=CC=N1)=C1C2=N[C@@H](C(C)(C)C)CO2,N1(C=CC=2C1=NC=CC2)[C@@H](CCCC)C2=CC=C(C#N)C=C2,296.15,0.8924,-64,L235,Ligand_431,Pyox,P_1698,Photoredox,literature,10.1021/acs.orglett.9b03338,"(S)-4-(tert-butyl)-2-(3-methylpyridin-2-yl)-4,5-dihydrooxazole","(S)-4-(1-(1H-pyrrolo[2,3-b]pyridin-1-yl)pentyl)benzonitrile",
4998,C1(C2(CCCC2)C3=N[C@@H](C4=CC=CC=C4)CO3)=N[C@@H](C5=CC=CC=C5)CO1,C1(=CC=CC=C1)CCC([C@@H](C)C1=CC=CC=C1)=O,283.15,1.8663,-93,L431,Ligand_118,Box,P_3157,Photoredox,literature,10.1038/s41467-021-23887-2,"(4S,4'S)-2,2'-(cyclopentane-1,1-diyl)bis(4-phenyl-4,5-dihydrooxazole)","(S)-1,4-diphenylpentan-3-one",
4601,[H][C@@]12N=C(C3(CC3)C4=N[C@]5([H])[C@](CC6=C5C=CC=C6)([H])O4)O[C@]1([H])CC7=C2C=CC=C7,CON(C(C1=CC=C(C=C1)[C@@H](CCCC)S(=O)(=O)C1=CC=CC=C1)=O)C,273.15,1.5982,-90,L23,Ligand_71,Box,P_1605,RCC,literature,10.1039/d1sc00283j,"(3aS,3a'S,8aR,8a'R)-2,2'-(cyclopropane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)",(R)-N-methoxy-N-methyl-4-(1-(phenylsulfonyl)pentyl)benzamide,
6180,CC(C1=N[C@H](C2=CC=CC=C2)C(CCC(C)C)(CCC(C)C)O1)(C)C3=N[C@H](C4=CC=CC=C4)C(CCC(C)C)(CCC(C)C)O3,C(CCC)[C@@H](C(=O)NC1=CC=CC=C1)CCCCCCN1C(C2=CC=CC=C2C1=O)=O,263.15,1.3526,-86,L484,Ligandplus_12,Box,pplus_391,NiH,literature,10.1021/jacs.1c12350,"(4R,4'R)-2,2'-(propane-2,2-diyl)bis(5,5-diisopentyl-4-phenyl-4,5-dihydrooxazole)","(R)-2-butyl-8-(1,3-dioxoisoindolin-2-yl)-N-phenyloctanamide",
4701,CN[C@H](C1=CC=CC=C1)[C@H](NC)C2=CC=CC=C2,CCCC[C@@H](B1OC(C)(C)C(C)(C)O1)C1=CC=C(C(F)(F)F)C=C1,298.15,1.9651,-93,L103,Ligand_230,Diamine,P_148,Photoredox,literature,10.1038/s41467-021-21947-1,"(1R,2R)-N1,N2-dimethyl-1,2-diphenylethane-1,2-diamine","(R)-4,4,5,5-tetramethyl-2-(1-(4-(trifluoromethyl)phenyl)pentyl)-1,3,2-dioxaborolane",
4089,CC([C@@H]1N=C(C2=CC=CC(C3=N[C@@H](C(C)C)CO3)=N2)OC1)C,N#CCCC[C@H]1CCC2=CC=CC=C21,273.15,1.725,-92,L16,Ligand_324,Pybox,P_751,C(sp3)-C(sp3),literature,10.1021/ja053751f ,"2,6-bis((S)-4-isopropyl-4,5-dihydrooxazol-2-yl)pyridine","(S)-4-(2,3-dihydro-1H-inden-1-yl)butanenitrile",
1510,CC(C1=CC(C(C)(C)C)=CC(CC(C2=N[C@]3([H])[C@](CC4=C3C=CC=C4)([H])O2)(C5=N[C@]6([H])[C@](CC7=C6C=CC=C7)([H])O5)CC8=CC(C(C)(C)C)=CC(C(C)(C)C)=C8)=C1)(C)C,O=C1N(CCC1)[C@@H](CCCCC)CCCOC2=CC3=C(C=C2)C=CC=C3,303.15,0.9209,-64,L43,Ligand_74,Box,P_32,NiH,HTE,10.1038/s41467-021-21600-x,"(3aS,3a'S,8aR,8a'R)-2,2'-(1,3-bis(3,5-di-tert-butylphenyl)propane-2,2-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)",(S)-1-(1-(naphthalen-2-yloxy)nonan-4-yl)pyrrolidin-2-one,
2779,CC(C1=N[C@H](C2=CC=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O1)(C)C5=N[C@H](C6=CC=CC=C6)C(C7=CC=CC=C7)(C8=CC=CC=C8)O5,C(C)(=O)OCCCCCC(C(C(F)(F)F)(F)F)CCC1=CC=CC=C1,268.15,1.569,-90,L214,Ligand_77,Box,P_1346,NiH,literature,10.1038/s41586-018-0669-y,"(4R,4'R)-2,2'-(propane-2,2-diyl)bis(4,5,5-triphenyl-4,5-dihydrooxazole)","7,7,8,8,8-pentafluoro-6-phenethyloctyl acetate",
1551,CC(C1=N[C@H](C2=CC=CC=C2)[C@H](C3=CC=CC=C3)O1)(C4=N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O4)C,CC1(C)OB([C@H](CCCCC)CCCN2C3=C(C4=C2C=CC=C4)C=CC=C3)OC1(C)C,303.15,0.7544,-56,L39,Ligand_68,Box,P_33,NiH,HTE,10.1038/s41557-020-00576-z,"(4R,4'R,5S,5'S)-2,2'-(propane-2,2-diyl)bis(4,5-diphenyl-4,5-dihydrooxazole)","(R)-9-(4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)nonyl)-9H-carbazole",
5151,[C@H]1(N=C(C2=N[C@@H](CC3=CC=CC=C3)CO2)OC1)CC4=CC=CC=C4,C1C(=CC2=CC=CC=C12)C[C@@]1(C(N(C2=CC=C(C=C12)C)C)=O)C,298.15,1.1005,-73,L45,Ligand_3,Biox,P_3493,Cyclization,literature,10.1039/c9qo00744j,"(4S,4'S)-4,4'-dibenzyl-4,4',5,5'-tetrahydro-2,2'-bioxazole","(S)-3-((1H-inden-2-yl)methyl)-1,3,5-trimethylindolin-2-one",
2535,[H][C@@]12N=C(C3(CC3)C4=N[C@]5([H])[C@](CC6=C5C=CC=C6)([H])O4)O[C@]1([H])CC7=C2C=CC=C7,ClC1=NC=C(C=C1)[C@H](C)\C=C\C1=CC=C(C=C1)OC,273.15,1.8003,-93,L23,Ligand_71,Box,P_1587,NiH,literature,10.1002/anie.202012614,"(3aS,3a'S,8aR,8a'R)-2,2'-(cyclopropane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)","(R,E)-2-chloro-5-(4-(4-methoxyphenyl)but-3-en-2-yl)pyridine",
3794,CN[C@H](C1=CC=CC(C(F)(F)F)=C1)[C@H](NC)C2=CC(C(F)(F)F)=CC=C2,O1COC2=C1C=CC(=C2)C[C@H](CCC(CC(=O)OC)(C)C)CC,278.15,1.1013,-76,L104,Ligand_237,Diamine,P_203,C(sp3)-C(sp3),literature,10.1021/ja8013677,"(1R,2R)-N1,N2-dimethyl-1,2-bis(3-(trifluoromethyl)phenyl)ethane-1,2-diamine","methyl (S)-6-(benzo[d][1,3]dioxol-5-ylmethyl)-3,3-dimethyloctanoate",
2442,CCCC(CCC)[C@@H]1CN(C2=CC=CC(C(C)(C)C)=C2)C(C3=N[C@H](C(CCC)CCC)CN3C4=CC(C(C)(C)C)=CC=C4)=N1,C(C1=CC=CC=C1)(=O)N[C@@H](CC)C1=CC=C(C=C1)NC(OC(C)(C)C)=O,298.15,2.4793,-97,L139,Ligand_260,Biim,P_566,NiH,literature,10.1038/s41467-020-20888-5,"(4R,4'R)-1,1'-bis(3-(tert-butyl)phenyl)-4,4'-di(heptan-4-yl)-4,4',5,5'-tetrahydro-1H,1'H-2,2'-biimidazole",tert-butyl (S)-(4-(1-benzamidopropyl)phenyl)carbamate,
2958,C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=N[C@@H](C4=CC=CC=C4)CO1,CC1(OB(OC1(C)C)[C@H](CCCCOC1=CC=CC=C1)CCCCC1=CC=CC=C1)C,298.15,1.4885,-85,L376,Ligand_18,Biox,P_2745,NiH,literature,10.1038/s41557-020-00576-z,"(4S,4'S)-4,4'-diphenyl-4,4',5,5'-tetrahydro-2,2'-bioxazole","(S)-4,4,5,5-tetramethyl-2-(1-phenoxy-9-phenylnonan-5-yl)-1,3,2-dioxaborolane",
5071,C[C@@H](CC)[C@H]1COC(C2=N[C@@H]([C@H](CC)C)CO2)=N1,CC(C[C@@H](C(=O)OC(C)(C)C)C1=CC=C(C=C1)C(F)(F)F)(C)C,293.15,1.8513,-92,L458,Ligand_24,Biox,P_3532,Photoredox,literature,10.1021/jacs.0c08823,"(4S,4'S)-4,4'-di((S)-sec-butyl)-4,4',5,5'-tetrahydro-2,2'-bioxazole","tert-butyl (R)-4,4-dimethyl-2-(4-(trifluoromethyl)phenyl)pentanoate",
108,CC([C@@H]1N=C(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)OC1)(C)C,O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C)C=C2)CC,303.15,0.1217,-10,L18,Ligand_57,Box,P_4,NiH,HTE,10.1002/anie.202011342,"(4S,4'S)-2,2'-(cyclopentane-1,1-diyl)bis(4-(tert-butyl)-4,5-dihydrooxazole)",(R)-N-(1-(p-tolyl)propyl)benzamide,
30,CC([C@@H]1N=C(C2=CC=CC(C3=NC(C4=N[C@@H](C(C)(C)C)CO4)=CC=C3)=N2)OC1)(C)C,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.0462,-4,L35,Ligand_256,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"6,6'-bis((S)-4-(tert-butyl)-4,5-dihydrooxazol-2-yl)-2,2'-bipyridine",(S)-N-(1-phenylethyl)benzamide,
2909,C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=N[C@@H](C4=CC=CC=C4)CO1,C(C)(C)(C)C=1C=C(C=C(C1)C(C)(C)C)C[C@@H](CC)NC(OCC1=CC=CC=C1)=O,298.15,1.6302,-88,L376,Ligand_18,Biox,P_2716,NiH,literature,10.1021/jacs.0c01324,"(4S,4'S)-4,4'-diphenyl-4,4',5,5'-tetrahydro-2,2'-bioxazole","benzyl (R)-(1-(3,5-di-tert-butylphenyl)butan-2-yl)carbamate",
3066,[H][C@]12C[C@]3(C4=CC=C(CC(C5=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O5)(C8=N[C@H](C9=CC=CC=C9)[C@H](C%10=CC=CC=C%10)O8)CC%11=CC=C([C@@]%12%13C[C@@]%14([H])C[C@](C%13)([H])CC(C%14)C%12)C=C%11)C=C4)CC(C2)CC(C3)C1,C1=CC=CC=2C3=CC=CC=C3N(C12)CCC[C@@H](CCCCC)N1C(CCC1)=O,273.15,1.4935,-88,L468,Ligand_87,Box,P_3636,NiH,literature,10.1038/s41467-021-22983-7,"(4R,4'R,5S,5'S)-2,2'-(1-(4-((1S,3R)-adamantan-1-yl)phenyl)-3-(4-((1s,3R,5S)-adamantan-1-yl)phenyl)propane-2,2-diyl)bis(4,5-diphenyl-4,5-dihydrooxazole)",(R)-1-(1-(9H-carbazol-9-yl)nonan-4-yl)pyrrolidin-2-one,
752,CC([C@@H]1N=C(C2=CC=CC(C3=NC(C4=N[C@@H](C(C)(C)C)CO4)=CC=C3)=N2)OC1)(C)C,O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C=C2)C(OCC)=O)CC,303.15,-0.0002,0,L35,Ligand_256,Pyox,P_18,NiH,HTE,10.1002/anie.202011342,"6,6'-bis((S)-4-(tert-butyl)-4,5-dihydrooxazol-2-yl)-2,2'-bipyridine",ethyl (R)-4-(1-benzamidopropyl)benzoate,
585,CC(C1=N[C@H](C2=CC=CC=C2)[C@H](C3=CC=CC=C3)O1)(C4=N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O4)C,FC(F)(F)[C@H](C1=CC=CC=C1)CCC2=CC=CC=C2,253.15,1.6218,-92,L39,Ligand_68,Box,P_14,C(sp3)-C(sp2),HTE,10.1021/jacs.5b04725,"(4R,4'R,5S,5'S)-2,2'-(propane-2,2-diyl)bis(4,5-diphenyl-4,5-dihydrooxazole)","(S)-(4,4,4-trifluorobutane-1,3-diyl)dibenzene",
1221,C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=NC4=CC=CC=C4C=C1,CC[C@H](C1CCCCC1)NC(OCC2=CC=CC=C2)=O,303.15,0.2557,-21,L12,Ligand_361,Pyox,P_68,NiH,HTE,10.1021/jacs.0c11630,"(S)-4-phenyl-2-(quinolin-2-yl)-4,5-dihydrooxazole",benzyl (R)-(1-cyclohexylpropyl)carbamate,
2276,C[C@@H]1N=C(C2=CC=CC(C3=N[C@@H](C)CO3)=N2)OC1,O=C(NC1=CC=CC=C1)[C@H](CC)CCC2CCCCC2,268.15,0.0193,-2,L47,Ligand_330,Pybox,P_48,NiH,HTE,10.1038/s41586-018-0669-y,"2,6-bis((S)-4-methyl-4,5-dihydrooxazol-2-yl)pyridine",(R)-4-cyclohexyl-2-ethyl-N-phenylbutanamide,
3358,BrC1=CC(Cl)=CN=C1C2=N[C@H](CC3CCCCC3)CO2,FC([C@@H](C1=CC2=CC=CC=C2C=C1)C1=CC=C(C(=O)OC)C=C1)(F)F,258.15,1.2529,-84,L462,Ligand_400,Pyox,P_3588,C(sp3)-C(sp2),literature,10.1038/s41467-019-10851-4,"(R)-2-(3-bromo-5-chloropyridin-2-yl)-4-(cyclohexylmethyl)-4,5-dihydrooxazole","methyl (R)-4-(2,2,2-trifluoro-1-(naphthalen-2-yl)ethyl)benzoate",
2514,[H][C@@]12N=C(C3(CC3)C4=N[C@]5([H])[C@](CC6=C5C=CC=C6)([H])O4)O[C@]1([H])CC7=C2C=CC=C7,COC1=NC=C(C=C1)\C=C\C(CCC)C1=CC=CC=C1,263.15,1.5397,-90,L23,Ligand_71,Box,P_1565,NiH,literature,10.1002/anie.202012614,"(3aS,3a'S,8aR,8a'R)-2,2'-(cyclopropane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)",(E)-2-methoxy-5-(3-phenylhex-1-en-1-yl)pyridine,
3543,[H][C@@]12[C@@](C(C=CC=C3)=C3C2)([H])N=C(C4=NC(C5=N[C@](C(C=CC=C6)=C6C7)([H])[C@]7([H])O5)=CC=C4)O1,C(C)(=O)OCCCC[C@@H](C#C[Si](C)(C)C)C1=CC(=C(C=C1)Cl)F,283.15,1.4555,-86,L470,Ligand_335,Pybox,P_3649,C(sp3)-C(sp2),literature,10.1021/ja300031w,"2,6-bis((3aS,8aR)-3a,8a-dihydro-8H-indeno[1,2-d]oxazol-2-yl)pyridine",(R)-5-(4-chloro-3-fluorophenyl)-7-(trimethylsilyl)hept-6-yn-1-yl acetate,
549,C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=NC=CC=C1,O=C([C@@H](/C=C/C1=CC=CC=C1)CC)C2=CC=CC=C2,283.15,0.1233,-11,L3,Ligand_354,Pyox,P_13,C(sp3)-C(sp2),HTE,10.1021/ja1017046,"(S)-4-phenyl-2-(pyridin-2-yl)-4,5-dihydrooxazole","(R,E)-2-ethyl-1,4-diphenylbut-3-en-1-one",
5405,CC([C@H](CO1)N=C1C2=CC=CC=N2)(C)C,C(C)(=O)OC1=CC=C(C=C1)CC[C@]1(CCC2=CC=CC=C12)CCOCC1=CC=CC=C1,313.15,1.8323,-90,L325,Ligand_418,Pyox,P_2370,Cyclization,literature,10.1021/acs.orglett.0c00688,"(R)-4-(tert-butyl)-2-(pyridin-2-yl)-4,5-dihydrooxazole","(S)-4-(2-(1-(2-(benzyloxy)ethyl)-2,3-dihydro-1H-inden-1-yl)ethyl)phenyl acetate",
3173,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](C6=CC=CC=C6)CO5)(C)C,BrC1=C(C(=O)OCCCC[C@H](CCCCC)N(C(C)=O)C2=CC=C(C=C2)OC)C=CC=C1F,298.15,2.3058,-96,L312,Ligand_112,Box,P_2238,NiH,literature,10.1038/s41467-021-21600-x,"(4S,4'S)-2,2'-(1,3-bis(4-(tert-butyl)phenyl)propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)",(S)-5-(N-(4-methoxyphenyl)acetamido)decyl 2-bromo-3-fluorobenzoate,
6124,C1(C2(CCCC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1,ClCCCCCC([C@H](CCCC)NC(C1=CC=CC=C1)=O)=O,288.15,1.6284,-89,L471,Ligand_156,Box,pplus_335,Photoredox,literature,10.1021/jacs.0c10471,"(4R,4'R,5S,5'S)-2,2'-(cyclopentane-1,1-diyl)bis(4,5-diphenyl-4,5-dihydrooxazole)",(S)-N-(11-chloro-6-oxoundecan-5-yl)benzamide,
6369,CC(C1=N[C@H](C2=CC=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O1)(CC5=CC=CC=C5)C6=N[C@H](C7=CC=CC=C7)C(C8=CC=CC=C8)(C9=CC=CC=C9)O6,CCCCCCCC/C=C/CCCCCC[C@H](OC(C1=CC=CC=C1)=O)CCC2=CC=CC=C2,263.15,2.0351,-96,L496,Ligandplus_24,Box,pplus_580,C(sp3)-C(sp3),literature,10.1021/jacs.2c04358,"(4R,4'R)-2,2'-(1-phenylpropane-2,2-diyl)bis(4,5,5-triphenyl-4,5-dihydrooxazole)","(S,E)-1-phenylnonadec-10-en-3-yl benzoate",
6410,CC([C@@H]1N=C(C2=NC=CC=C2)OC1)(C)C,CN1C([C@](C2=CC=CC=C12)(CC(CCC)=O)C)=O,318.15,0.2041,-16,L2,Ligand_353,Pyox,P_992,Photoredox,literature,10.1021/jacs.9b12554,"(S)-4-(tert-butyl)-2-(pyridin-2-yl)-4,5-dihydrooxazole","(S)-1,3-dimethyl-3-(2-oxopentyl)indolin-2-one",
6346,CC(C1=N[C@H](C2=CC=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O1)(CC5=CC=CC=C5)C6=N[C@H](C7=CC=CC=C7)C(C8=CC=CC=C8)(C9=CC=CC=C9)O6,CCCCCC[C@H](OC(C1=CC=CC=C1)=O)CCC2=CC=CC=C2,263.15,1.6619,-92,L496,Ligandplus_24,Box,pplus_557,C(sp3)-C(sp3),literature,10.1021/jacs.2c04358,"(4R,4'R)-2,2'-(1-phenylpropane-2,2-diyl)bis(4,5,5-triphenyl-4,5-dihydrooxazole)",(S)-1-phenylnonan-3-yl benzoate,
6442,CCCC(CCC)[C@@H]1CN(C2=CC=CC(C(C)(C)C)=C2)C(C3=N[C@H](C(CCC)CCC)CN3C4=CC(C(C)(C)C)=CC=C4)=N1,COC1=CC=C(C=C1)[C@H](CC)C=1OC2=C(C1)C=CC=C2,298.15,1.447,-84,L139,Ligand_260,Biim,pplus_648,NiH,literature,10.1038/s41467-022-30006-2,"(4R,4'R)-1,1'-bis(3-(tert-butyl)phenyl)-4,4'-di(heptan-4-yl)-4,4',5,5'-tetrahydro-1H,1'H-2,2'-biimidazole",(S)-2-(1-(4-methoxyphenyl)propyl)benzofuran,
4611,[H][C@@]12N=C(C3(CC3)C4=N[C@]5([H])[C@](CC6=C5C=CC=C6)([H])O4)O[C@]1([H])CC7=C2C=CC=C7,C1(=CC=CC=C1)[C@@H](CCCC)S(=O)(=O)C1=CC=CC=C1,273.15,1.5436,-89,L23,Ligand_71,Box,P_1614,RCC,literature,10.1039/d1sc00283j,"(3aS,3a'S,8aR,8a'R)-2,2'-(cyclopropane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)",(R)-((1-phenylpentyl)sulfonyl)benzene,
5924,CC(C1=N[C@@H](C(C)C)CO1)(C)C2=N[C@@H](C(C)C)CO2,COC(C1=CC=C(C=C1)[C@@H](C)C1=CC=CC=C1)=O,303.15,0.0966,-8,L232,Ligand_121,Box,pplus_138,Photoredox,literature,10.1002/cjoc.202100819,"(4S,4'S)-2,2'-(propane-2,2-diyl)bis(4-isopropyl-4,5-dihydrooxazole)",methyl (S)-4-(1-phenylethyl)benzoate,
3492,CC([C@H]1COC(C2(CCCC2)C3=N[C@@H](C(C)C)CO3)=N1)C,C1(=CC=CC=C1)[C@H](C#N)C1CCN(CC1)S(=O)(=O)C1=CC=C(C)C=C1,195.15,1.1847,-91,L319,Ligand_124,Box,P_2325,C(sp3)-C(sp2),literature,10.1021/ja303442q,"(4S,4'S)-2,2'-(cyclopentane-1,1-diyl)bis(4-isopropyl-4,5-dihydrooxazole)",(R)-2-phenyl-2-(1-tosylpiperidin-4-yl)acetonitrile,
5120,C[C@@H](CC)[C@H]1COC(C2=N[C@@H]([C@H](CC)C)CO2)=N1,C1(CCCC1)C[C@@H](C(=O)OC(C)(C)C)C1=CC(=C(C=C1)C1=CC=CC=C1)F,293.15,1.5531,-87,L458,Ligand_24,Biox,P_3583,Photoredox,literature,10.1021/jacs.0c08823,"(4S,4'S)-4,4'-di((S)-sec-butyl)-4,4',5,5'-tetrahydro-2,2'-bioxazole","tert-butyl (R)-3-cyclopentyl-2-(2-fluoro-[1,1'-biphenyl]-4-yl)propanoate",
4906,CCC([C@@H](CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=C1C3=N[C@@H](C(C)CC)CN3C4=CC(C(C)(C)C)=CC(C(C)(C)C)=C4)C,COC1=C(C=CC=C1)\C=C\[C@@H](C)C1=CC=CC=C1,298.15,1.6302,-88,L163,Ligand_289,Biim,P_800,Photoredox,literature,10.1021/acscatal.1c02851,"(4S,4'S)-4,4'-di-sec-butyl-1,1'-bis(3,5-di-tert-butylphenyl)-4,4',5,5'-tetrahydro-1H,1'H-2,2'-biimidazole","(R,E)-1-methoxy-2-(3-phenylbut-1-en-1-yl)benzene",
3879,CC([C@@H]1N=C(C2=NC=CC=C2)OC1)(C)C,O(C1=CC=CC=C1)CCC[C@@H](C)NC(OC(C)(C)C)=O,273.15,0.1752,-16,L2,Ligand_353,Pyox,P_107,C(sp3)-C(sp3),literature,10.1021/jacs.0c13034,"(S)-4-(tert-butyl)-2-(pyridin-2-yl)-4,5-dihydrooxazole",tert-butyl (R)-(5-phenoxypentan-2-yl)carbamate,
2639,CC(C1=N[C@H](CO1)C2=CC=CC=C2)(C)C3=N[C@H](CO3)C4=CC=CC=C4,ClC1=CC=C(C=C1)[C@H](CC)C(CCCCCCCC)=O,273.15,1.6583,-91,L21,Ligand_59,Box,P_1112,NiH,literature,10.1021/jacs.0c01324,"(4S,4'S)-2,2'-(propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)",(S)-3-(4-chlorophenyl)dodecan-4-one,
